户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共18层,71.67,平层/简装,475,太平桥西里,丰台,配备电梯,2023年12月13日,普通住宅,66276
3室1厅,高楼层/共6层,67.8,平层/简装,355,刘家窑南里,丰台,无,2023年11月16日,普通住宅,52360
2室1厅,低楼层/共17层,92.48,平层/精装,633,星河城东区,丰台,配备电梯,2023年11月18日,普通住宅,68448
1室1厅,高楼层/共15层,52.11,平层/精装,169,中奥嘉园二期,丰台,配备电梯,2023年11月18日,普通住宅,32432
2室1厅,低楼层/共25层,68.6,平层/简装,405,芳星园三区,丰台,配备电梯,2023年11月18日,普通住宅,59038
2室1厅,低楼层/共6层,51.57,平层/精装,348,右外22号院,丰台,无,2023年11月22日,普通住宅,67482
3室2厅,中楼层/共6层,138.26,平层/精装,850,映天朗,丰台,配备电梯,2023年11月16日,普通住宅,61479
2室1厅,低楼层/共6层,53.89,平层/精装,299,海户屯,丰台,无,2023年11月22日,普通住宅,55484
2室1厅,中楼层/共18层,70.9,平层/简装,360,西罗园南里,丰台,配备电梯,2023年11月15日,普通住宅,50776
2室1厅,低楼层/共6层,58.7,平层/简装,295,西罗园四区,丰台,无,2023年11月15日,普通住宅,50256
3室1厅,中楼层/共6层,75.26,平层/简装,447,莲怡园北路1号院,丰台,无,2023年11月15日,普通住宅,59395
2室1厅,高楼层/共12层,86.47,平层/精装,549,政馨园三区,丰台,配备电梯,2023年11月14日,普通住宅,63491
1室1厅,低楼层/共31层,61.12,平层/精装,235,宝隆温泉公寓,丰台,配备电梯,2023年11月16日,普通住宅,38449
1室1厅,中楼层/共11层,68.17,平层/简装,415,草桥欣园四区,丰台,配备电梯,2023年11月14日,普通住宅,60878
1室1厅,低楼层/共16层,41.94,平层/简装,188,南木樨园,丰台,配备电梯,2023年11月15日,普通住宅,44826
2室1厅,低楼层/共22层,56.36,平层/精装,365,芳群园一区,丰台,配备电梯,2023年11月13日,普通住宅,64763
2室1厅,中楼层/共6层,74.58,平层/毛坯,265,珠光逸景二期,丰台,无,2023年11月15日,普通住宅,35533
2室1厅,低楼层/共9层,96.68,平层/简装,528,小井润园11号院,丰台,无,2023年11月13日,普通住宅,54614
2室1厅,高楼层/共28层,105.73,平层/精装,515,长安新城,丰台,配备电梯,2023年11月15日,普通住宅,48709
1室1厅,中楼层/共6层,45.66,平层/简装,240,莲怡园北路1号院,丰台,无,2023年12月08日,普通住宅,52563
2室1厅,低楼层/共19层,120.96,平层/精装,818,恋日花都,丰台,配备电梯,2023年11月13日,普通住宅,67626
